Date,9ŒŽ1“ú,9ŒŽ2“ú,9ŒŽ3“ú,9ŒŽ4“ú,9ŒŽ5“ú,9ŒŽ6“ú,9ŒŽ7“ú,9ŒŽ8“ú,9ŒŽ9“ú,9ŒŽ10“ú
DayType,Weekday,Weekday,Weekday,Weekday,Holiday,Holiday,Weekday,Weekday,Weekday,Weekday
1002,15M,16M,OFF,OFF,39M,40M,17M,18M,19M,OFF
1003,46M,47M,OFF,OFF,31M,58M,73M,74M,75M,OFF
1004,18M,19M,OFF,OFF,74M,75M,59M,60M,61M,OFF
1005,32M,33M,OFF,OFF,1M,2M,66M,67M,68M,OFF
1006,39M,40M,OFF,OFF,53M,54M,45M,46M,47M,OFF
1007,67M,68M,OFF,OFF,25M,26M,OFF,39M,40M,OFF
1008,11M,12M,OFF,OFF,74C,75C,OFF,67C,68M,OFF
1009,60C,61M,OFF,OFF,24M,25M,10M,11M,12M,OFF
1010,46C,47C,OFF,OFF,60C,61M,OFF,15M,16M,OFF
1011,60M,61C,OFF,OFF,46C,47C,47C,OFF,OFF,OFF
1012,J5,J6,OFF,OFF,A1,OFF,24C,S2,S3,OFF
1013,R3,R4,OFF,OFF,J5,J6,OFF,R5,R6,OFF
1014,15C,16C,OFF,OFF,4C,5C,17C,18C,19C,OFF
1015,A6,A7,OFF,OFF,R5,R6,A3,A4,A5,OFF
1016,R5,R6,OFF,OFF,73C,J5,J6,R3,R4,OFF
1017,J3,J4,OFF,OFF,A6,A7,J2,J5,J6,OFF
1018,S2,S3,OFF,OFF,OFF,OFF,OFF,J3,J4,OFF
1019,57C,52C,OFF,OFF,R3,R4,31C,A6,A7,OFF
1020,OFF,8C,OFF,OFF,67C,68C,38C,39C,40C,OFF
1021,OFF,22C,OFF,OFF,15C,16C,73C,74C,75C,OFF
