TaskID,TargetArea,Load,StartType,EndType,PairTaskID,DayType,Role,FemaleAllowed
M_1_W,Akaike,3,Normal,Normal,,Weekday,M,Y
M_2_W,Akaike,3,Normal,Late,,Weekday,M,Y
M_3_W,Akaike,3,Normal,Early,,Weekday,M,Y
M_4_W,Akaike,3,Late,Early,,Weekday,M,Y
M_5_W,Akaike,3,Normal,Early,4,Weekday,M,Y
M_8_W,Akaike,3,Early,Early,,Weekday,M,Y
M_9_W,Akaike,3,Early,Normal,,Weekday,M,Y
M_10_W,Akaike,3,Early,Normal,,Weekday,M,Y
M_11_W,Akaike,3,Normal,Early,,Weekday,M,Y
M_12_W,Akaike,3,Normal,Normal,11,Weekday,M,Y
M_15_W,Akaike,3,Normal,Normal,,Weekday,M,Y
M_16_W,Akaike,3,Normal,Normal,15,Weekday,M,Y
M_17_W,Akaike,3,Early,Late,,Weekday,M,Y
M_18_W,Akaike,3,Normal,Normal,,Weekday,M,Y
M_19_W,Akaike,3,Normal,Normal,18,Weekday,M,Y
M_22_W,Akaike,3,Early,Early,,Weekday,M,Y
M_23_W,Akaike,3,Early,Normal,,Weekday,M,Y
M_24_W,Akaike,3,Normal,Late,,Weekday,M,Y
M_25_W,Akaike,3,Late,Normal,,Weekday,M,Y
M_26_W,Akaike,3,Normal,Normal,25,Weekday,M,Y
M_29_W,Akaike,3,Late,Early,,Weekday,M,Y
M_30_W,Akaike,3,Early,Early,,Weekday,M,Y
M_31_W,Akaike,3,Early,Late,,Weekday,M,Y
M_32_W,Akaike,3,Late,Normal,,Weekday,M,Y
M_33_W,Akaike,3,Normal,Late,32,Weekday,M,Y
M_36_W,Akaike,3,Early,Early,,Weekday,M,Y
M_37_W,Akaike,3,Normal,Normal,,Weekday,M,Y
M_38_W,Akaike,3,Normal,Late,,Weekday,M,Y
M_39_W,Akaike,3,Late,Normal,,Weekday,M,N
M_40_W,Akaike,3,Normal,Early,39,Weekday,M,N
M_45_W,Akaike,3,Early,Normal,,Weekday,M,Y
M_46_W,Akaike,3,Normal,Normal,,Weekday,M,N
M_47_W,Akaike,3,Normal,Early,46,Weekday,M,N
M_52_W,Akaike,3,Late,Late,,Weekday,M,Y
M_53_W,Akaike,3,Late,Normal,,Weekday,M,N
M_54_W,Akaike,3,Normal,Normal,53,Weekday,M,N
M_57_W,Joshin,3,Early,Early,,Weekday,M,Y
M_58_W,Joshin,3,Late,Normal,,Weekday,M,Y
M_59_W,Joshin,3,Normal,Late,,Weekday,M,Y
M_60_W,Joshin,3,Late,Normal,,Weekday,M,N
M_61_W,Joshin,3,Normal,Normal,60,Weekday,M,N
M_66_W,Joshin,3,Early,Early,,Weekday,M,Y
M_67_W,Joshin,3,Normal,Normal,66,Weekday,M,Y
M_68_W,Joshin,3,Normal,Early,,Weekday,M,Y
M_73_W,Joshin,3,Late,Late,,Weekday,M,Y
M_74_W,Joshin,3,Late,Normal,73,Weekday,M,Y
M_75_W,Joshin,3,Normal,Late,,Weekday,M,Y
M_1_H,Akaike,3,Early,Early,,Holiday,M,Y
M_2_H,Akaike,3,Normal,Early,,Holiday,M,Y
M_4_H,Akaike,3,Early,Normal,,Holiday,M,Y
M_5_H,Akaike,3,Normal,Normal,4,Holiday,M,Y
M_10_H,Akaike,3,Normal,Normal,,Holiday,M,Y
M_11_H,Akaike,3,Normal,Early,,Holiday,M,Y
M_12_H,Akaike,3,Normal,Normal,11,Holiday,M,Y
M_15_H,Akaike,3,Normal,Normal,,Holiday,M,Y
M_16_H,Akaike,3,Normal,Normal,15,Holiday,M,Y
M_17_H,Akaike,3,Late,Early,,Holiday,M,Y
M_18_H,Akaike,3,Normal,Normal,,Holiday,M,Y
M_19_H,Akaike,3,Normal,Normal,18,Holiday,M,Y
M_24_H,Akaike,3,Late,Late,,Holiday,M,Y
M_25_H,Akaike,3,Late,Normal,,Holiday,M,Y
M_26_H,Akaike,3,Normal,Late,25,Holiday,M,Y
M_31_H,Akaike,3,Normal,Late,,Holiday,M,Y
M_32_H,Akaike,3,Late,Normal,,Holiday,M,Y
M_33_H,Akaike,3,Normal,Late,32,Holiday,M,Y
M_38_H,Akaike,3,Late,Late,,Holiday,M,Y
M_39_H,Akaike,3,Late,Normal,,Holiday,M,N
M_40_H,Akaike,3,Normal,Early,39,Holiday,M,N
M_45_H,Akaike,3,Early,Early,,Holiday,M,Y
M_46_H,Akaike,3,Normal,Normal,,Holiday,M,N
M_47_H,Akaike,3,Normal,Early,46,Holiday,M,N
M_52_H,Akaike,3,Late,Late,,Holiday,M,Y
M_53_H,Akaike,3,Late,Normal,,Holiday,M,N
M_54_H,Akaike,3,Normal,Normal,53,Holiday,M,N
M_58_H,Joshin,3,Late,Early,,Holiday,M,Y
M_59_H,Joshin,3,Normal,Late,,Holiday,M,Y
M_60_H,Joshin,3,Late,Normal,,Holiday,M,N
M_61_H,Joshin,3,Normal,Normal,60,Holiday,M,N
M_66_H,Joshin,3,Early,Early,,Holiday,M,Y
M_67_H,Joshin,3,Normal,Normal,,Holiday,M,Y
M_68_H,Joshin,3,Normal,Early,67,Holiday,M,Y
M_73_H,Joshin,3,Late,Late,,Holiday,M,Y
M_74_H,Joshin,3,Late,Normal,,Holiday,M,Y
M_75_H,Joshin,3,Normal,Late,74,Holiday,M,Y
C_1_W,Akaike,3,Normal,Normal,,Weekday,C,Y
C_2_W,Akaike,3,Normal,Late,,Weekday,C,Y
C_3_W,Akaike,3,Normal,Early,,Weekday,C,Y
C_4_W,Akaike,3,Late,Early,,Weekday,C,Y
C_5_W,Akaike,3,Normal,Early,4,Weekday,C,Y
C_8_W,Akaike,3,Early,Early,,Weekday,C,Y
C_9_W,Akaike,3,Early,Normal,,Weekday,C,Y
C_10_W,Akaike,3,Early,Normal,,Weekday,C,Y
C_11_W,Akaike,3,Normal,Early,,Weekday,C,Y
C_12_W,Akaike,3,Normal,Normal,11,Weekday,C,Y
C_15_W,Akaike,3,Normal,Normal,,Weekday,C,Y
C_16_W,Akaike,3,Normal,Normal,15,Weekday,C,Y
C_17_W,Akaike,3,Early,Late,,Weekday,C,Y
C_18_W,Akaike,3,Normal,Normal,,Weekday,C,Y
C_19_W,Akaike,3,Normal,Normal,18,Weekday,C,Y
C_22_W,Akaike,3,Early,Early,,Weekday,C,Y
C_23_W,Akaike,3,Early,Normal,,Weekday,C,Y
C_24_W,Akaike,3,Normal,Late,,Weekday,C,Y
C_25_W,Akaike,3,Late,Normal,,Weekday,C,Y
C_26_W,Akaike,3,Normal,Normal,25,Weekday,C,Y
C_29_W,Akaike,3,Late,Early,,Weekday,C,Y
C_30_W,Akaike,3,Early,Early,,Weekday,C,Y
C_31_W,Akaike,3,Early,Late,,Weekday,C,Y
C_32_W,Akaike,3,Late,Normal,,Weekday,C,Y
C_33_W,Akaike,3,Normal,Late,32,Weekday,C,Y
C_36_W,Akaike,3,Early,Early,,Weekday,C,Y
C_37_W,Akaike,3,Normal,Normal,,Weekday,C,Y
C_38_W,Akaike,3,Normal,Late,,Weekday,C,Y
C_39_W,Akaike,3,Late,Normal,,Weekday,C,N
